ms_zoning,lot_frontage,street,land_contour,overall_qual,roof_matl,exterior_1st,mas_vnr_type,mas_vnr_area,foundation,bsmt_qual,bsmt_exposure,bsmtfin_sf_1,heating,heating_qc,central_air,gr_liv_area,full_bath,fireplace_qu,garage_type,garage_finish,garage_area,wood_deck_sf,open_porch_sf,sale_type,saleprice,age_built,age_remod,total_sf,open_lot,common_lot,closed_lot,near_park,near_road
RL,75.0,Pave,Bnk,7,CompShg,MetalSd,None,0.0,CBlock,3,1,275.0,GasA,5,Y,1564,1,4,Attchd,1,234.0,0,0,WD ,174500,68,59,2268.0,False,True,False,False,False
RL,62.0,Pave,Bnk,4,CompShg,Wd Sdng,None,0.0,CBlock,5,3,0.0,GasA,4,Y,1204,1,0,Basment,1,312.0,0,0,WD ,100000,54,54,1620.0,False,True,False,False,False
RL,81.0,Pave,Lvl,6,CompShg,Wd Sdng,BrkFace,108.0,CBlock,3,1,923.0,GasA,3,Y,1329,1,0,Attchd,1,312.0,393,36,WD ,172000,52,52,2658.0,False,True,False,False,False
RL,75.0,Pave,Lvl,5,CompShg,HdBoard,None,0.0,CBlock,3,1,330.0,GasA,3,Y,879,1,0,Attchd,1,440.0,0,80,Con,120000,32,32,1743.0,False,True,False,False,False
RH,60.0,Pave,Lvl,4,CompShg,Wd Sdng,None,0.0,CBlock,3,1,0.0,GasA,4,Y,841,1,0,CarPort,1,294.0,250,0,WD ,82000,59,59,1562.0,False,True,False,False,False
RL,50.0,Pave,Lvl,6,CompShg,VinylSd,None,0.0,CBlock,3,1,0.0,GasA,5,Y,1312,1,0,Detchd,1,649.0,0,28,WD ,127000,59,56,2096.0,False,True,False,False,False
RM,60.0,Pave,Lvl,6,CompShg,AsbShng,None,0.0,BrkTil,4,1,319.0,OthW,2,N,2058,1,4,Detchd,1,396.0,0,0,WD ,129500,91,58,2793.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,8,CompShg,HdBoard,None,0.0,CBlock,4,3,1036.0,GasA,4,Y,1360,1,5,Attchd,2,565.0,63,0,COD,187500,25,25,2580.0,False,False,True,False,False
RL,69.05520046484602,Pave,Lvl,8,CompShg,VinylSd,BrkFace,240.0,PConc,5,4,1538.0,GasA,5,Y,1786,2,4,Attchd,2,715.0,182,35,WD ,300000,6,5,3564.0,False,False,True,False,False
RL,69.05520046484602,Pave,Lvl,6,CompShg,HdBoard,BrkFace,252.0,CBlock,3,1,416.0,GasA,4,Y,1993,2,4,Attchd,2,495.0,0,66,WD ,190000,35,35,2818.0,False,False,True,False,False
RL,50.0,Pave,Lvl,4,CompShg,MetalSd,None,0.0,BrkTil,3,1,0.0,GasW,2,N,1362,2,0,Detchd,1,280.0,0,0,WD ,96000,87,57,2313.0,False,True,False,False,False
Others,65.0,Pave,Lvl,7,CompShg,CemntBd,Stone,100.0,PConc,4,1,812.0,GasA,5,Y,1550,2,0,Attchd,3,438.0,0,168,WD ,241000,3,2,2642.0,False,True,False,False,False
RL,40.0,Pave,Lvl,5,CompShg,HdBoard,None,0.0,CBlock,3,1,0.0,GasA,3,Y,1696,1,3,Attchd,2,349.0,0,30,WD ,143900,45,45,2836.0,False,False,True,False,False
RM,21.0,Pave,Lvl,4,CompShg,CemntBd,None,0.0,CBlock,3,1,408.0,GasA,3,Y,1092,1,0,CarPort,1,286.0,0,0,WD ,87550,36,36,1638.0,False,True,False,False,False
RL,61.0,Pave,Lvl,9,CompShg,MetalSd,BrkFace,412.0,PConc,5,1,456.0,GasA,5,Y,1752,2,4,Attchd,2,576.0,196,82,WD ,319900,5,5,3504.0,False,True,False,False,False
RL,63.0,Pave,HLS,9,CompShg,VinylSd,BrkFace,184.0,PConc,5,4,205.0,GasA,5,Y,2473,2,4,BuiltIn,3,675.0,246,39,New,356383,0,0,3567.0,False,False,True,False,False
RL,122.0,Pave,Lvl,9,CompShg,VinylSd,None,0.0,PConc,5,1,0.0,GasA,5,Y,1800,2,0,Attchd,3,702.0,288,136,WD ,239000,2,2,3600.0,False,True,False,False,False
RL,91.0,Pave,Lvl,7,WdShake,VinylSd,BrkFace,320.0,PConc,4,3,228.0,GasA,5,Y,2197,2,4,Attchd,3,783.0,385,99,WD ,287500,15,14,3277.0,False,True,False,False,False
RM,69.05520046484602,Pave,Lvl,5,CompShg,MetalSd,None,0.0,CBlock,3,1,360.0,GasA,3,Y,1382,1,0,Detchd,1,660.0,237,0,WD ,128500,66,57,1574.0,False,True,False,False,False
RL,63.0,Pave,Lvl,7,CompShg,VinylSd,None,0.0,PConc,4,1,0.0,GasA,5,Y,1733,2,4,BuiltIn,3,433.0,144,48,WD ,185088,6,6,2580.0,False,True,False,False,False
Others,72.0,Pave,Lvl,7,CompShg,VinylSd,None,0.0,PConc,4,1,0.0,GasA,5,Y,1402,2,0,Attchd,2,625.0,205,126,WD ,229800,1,1,2804.0,False,True,False,False,False
RL,62.0,Pave,Lvl,5,CompShg,Plywood,None,0.0,CBlock,3,1,516.0,GasA,3,Y,887,1,0,Attchd,2,288.0,140,0,WD ,124500,23,23,1751.0,False,True,False,False,False
RL,80.0,Pave,Lvl,5,CompShg,MetalSd,None,0.0,CBlock,3,1,758.0,GasA,4,Y,1051,1,0,Attchd,2,504.0,0,0,WD ,142000,38,38,2102.0,False,True,False,False,False
RL,69.0,Pave,HLS,6,CompShg,MetalSd,None,0.0,PConc,3,1,305.0,GasA,5,Y,1510,1,0,Detchd,1,216.0,0,0,WD ,149000,86,56,2265.0,False,True,False,False,False
RL,87.0,Pave,Lvl,5,CompShg,Plywood,BrkFace,564.0,CBlock,3,1,0.0,GasA,3,Y,1656,2,0,Detchd,1,506.0,0,211,WD ,135000,35,35,3312.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,6,CompShg,Plywood,None,0.0,CBlock,4,1,120.0,GasA,3,Y,958,2,3,Attchd,2,440.0,0,205,WD ,128000,31,31,2036.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,8,CompShg,BrkFace,None,0.0,PConc,4,1,1231.0,GasA,5,Y,3228,3,4,Attchd,2,546.0,264,75,WD ,430000,15,14,6428.0,False,True,False,False,False
RL,84.0,Pave,Lvl,5,CompShg,HdBoard,None,0.0,CBlock,3,1,812.0,GasA,3,Y,1040,1,0,Detchd,3,686.0,188,0,WD ,145000,39,39,2080.0,False,True,False,False,False
RL,53.0,Pave,Lvl,5,CompShg,Wd Sdng,None,0.0,PConc,3,1,0.0,GasA,5,Y,1250,2,4,Detchd,1,552.0,242,0,WD ,139000,97,4,1911.0,False,True,False,False,False
RL,78.0,Pave,Lvl,6,CompShg,VinylSd,BrkFace,74.0,CBlock,4,1,0.0,GasA,5,Y,1868,3,3,BuiltIn,3,477.0,268,112,WD ,178000,23,4,2453.0,False,True,False,False,False
RL,96.0,Pave,Lvl,10,CompShg,CemntBd,BrkFace,468.0,PConc,5,4,1082.0,GasA,5,Y,2790,2,5,BuiltIn,3,1150.0,30,200,WD ,460000,3,2,4410.0,False,True,False,False,False
RL,69.05520046484602,Pave,Bnk,6,CompShg,Wd Sdng,None,0.0,BrkTil,3,1,0.0,GasA,4,N,2134,2,0,Detchd,1,441.0,0,60,WD ,214500,93,15,2978.0,False,True,False,False,False
RH,69.05520046484602,Pave,Lvl,5,CompShg,VinylSd,None,0.0,PConc,3,2,0.0,GasA,4,Y,1928,2,0,NA,0,0.0,0,0,WD ,160000,90,11,2614.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,7,CompShg,VinylSd,BrkFace,298.0,PConc,4,1,772.0,GasA,5,Y,2060,2,3,BuiltIn,2,390.0,0,0,WD ,214000,10,10,3052.0,False,True,False,False,False
RM,68.0,Pave,Lvl,6,CompShg,Wd Sdng,None,0.0,PConc,3,1,0.0,GasA,4,Y,1378,1,0,Detchd,1,162.0,54,0,WD ,128900,74,11,2279.0,False,True,False,False,False
RL,69.05520046484602,Pave,Low,4,CompShg,MetalSd,Stone,149.0,CBlock,3,3,1159.0,GasA,5,Y,1622,1,3,2Types,3,1356.0,439,0,WD ,168000,46,32,2871.0,False,True,False,False,False
Others,112.0,Pave,Lvl,8,CompShg,WdShing,None,0.0,PConc,5,3,745.0,GasA,5,Y,1880,2,4,Attchd,3,880.0,168,127,New,310013,0,0,2835.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,8,CompShg,HdBoard,None,0.0,CBlock,4,1,0.0,GasA,5,Y,1088,1,0,Attchd,2,461.0,0,74,WD ,170000,21,21,2162.0,False,True,False,False,False
RL,70.0,Pave,Lvl,5,CompShg,BrkFace,None,0.0,CBlock,3,1,369.0,GasA,3,Y,1040,1,0,Attchd,2,286.0,140,0,WD ,133700,47,47,2080.0,False,True,False,False,False
RL,55.0,Pave,Lvl,6,CompShg,Wd Sdng,None,0.0,PConc,3,1,0.0,GasA,3,Y,1502,1,3,Detchd,1,180.0,96,0,WD ,165000,84,11,2104.0,False,True,False,False,False
RM,21.0,Pave,Lvl,6,CompShg,HdBoard,BrkFace,604.0,CBlock,3,1,358.0,GasA,3,Y,987,1,0,Detchd,1,264.0,0,0,WD ,89500,37,37,1470.0,False,True,False,False,False
RL,75.0,Pave,Lvl,6,CompShg,HdBoard,BrkFace,105.0,CBlock,3,4,513.0,GasA,3,Y,1095,1,0,Attchd,2,264.0,0,0,ConLD,140000,48,48,1683.0,False,True,False,False,False
RM,24.0,Pave,Lvl,7,CompShg,VinylSd,Stone,50.0,PConc,4,1,0.0,GasA,5,Y,1709,2,0,Detchd,1,380.0,0,40,WD ,134000,2,2,2679.0,False,True,False,False,False
RL,70.0,Pave,Lvl,6,CompShg,HdBoard,None,0.0,PConc,4,1,758.0,GasA,5,Y,1731,2,0,Attchd,2,462.0,307,85,WD ,248500,14,13,2567.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,4,CompShg,VinylSd,None,0.0,CBlock,3,3,648.0,GasA,5,Y,960,0,0,Attchd,1,364.0,88,0,WD ,145000,41,5,1608.0,False,False,True,False,False
RL,85.0,Pave,Lvl,6,CompShg,VinylSd,None,0.0,CBlock,4,1,550.0,GasA,3,Y,1552,2,3,Attchd,2,434.0,209,208,WD ,179900,31,31,2265.0,False,True,False,False,False
RL,75.0,Pave,Lvl,8,CompShg,VinylSd,BrkFace,428.0,PConc,5,3,0.0,GasA,5,Y,1795,2,4,Attchd,2,895.0,0,49,New,147000,1,0,3590.0,False,True,False,False,False
RL,63.0,Pave,Lvl,5,CompShg,HdBoard,None,0.0,PConc,4,1,458.0,GasA,4,Y,1274,1,0,Detchd,1,576.0,22,0,WD ,136000,19,19,1898.0,False,True,False,False,False
RM,50.0,Pave,Lvl,6,CompShg,MetalSd,None,0.0,CBlock,3,1,264.0,GasA,5,Y,1196,1,4,Detchd,1,576.0,0,0,WD ,128000,70,60,1768.0,False,True,False,False,False
RL,50.0,Pave,Lvl,4,CompShg,MetalSd,None,0.0,CBlock,2,1,0.0,GasA,5,Y,704,1,0,CarPort,1,220.0,0,0,WD ,88750,63,8,1264.0,False,True,False,False,False
RL,119.0,Pave,Lvl,5,CompShg,MetalSd,None,0.0,CBlock,3,1,648.0,GasA,3,Y,972,1,0,Attchd,1,305.0,0,0,WD ,122500,55,55,1944.0,False,True,False,False,False
RL,78.0,Pave,Lvl,6,CompShg,VinylSd,None,0.0,CBlock,3,1,0.0,GasA,3,Y,1458,1,4,Attchd,1,330.0,192,0,WD ,97500,62,60,2370.0,False,True,False,False,False
RL,109.0,Pave,Lvl,6,CompShg,MetalSd,BrkFace,332.0,CBlock,3,1,0.0,GasA,3,Y,1008,1,0,Attchd,2,430.0,0,0,WD ,135000,43,43,2016.0,False,True,False,False,False
RL,90.0,Pave,Lvl,9,CompShg,CemntBd,BrkFace,452.0,PConc,5,3,48.0,GasA,5,Y,1828,2,4,Attchd,1,774.0,0,108,New,314813,0,0,3650.0,False,True,False,False,False
Others,105.0,Pave,Lvl,3,CompShg,Plywood,None,0.0,CBlock,3,1,0.0,GasA,3,N,1526,1,0,NA,0,0.0,0,0,ConLD,85000,94,27,2026.0,False,True,False,False,True
RM,50.0,Pave,Lvl,6,CompShg,MetalSd,None,0.0,BrkTil,3,1,0.0,GasA,3,Y,1176,1,0,Detchd,1,624.0,210,0,WD ,134900,72,9,1874.0,False,True,False,False,False
RL,70.0,Pave,Lvl,5,CompShg,MetalSd,Stone,164.0,CBlock,3,2,0.0,GasA,4,Y,1057,1,0,Attchd,1,288.0,0,0,WD ,137000,51,7,2114.0,False,True,False,False,False
RL,91.0,Pave,Lvl,8,CompShg,MetalSd,BrkFace,660.0,PConc,4,4,1696.0,GasA,5,Y,2113,2,3,Attchd,3,839.0,236,46,WD ,350000,13,13,4222.0,False,True,False,False,False
RL,65.0,Pave,Lvl,5,CompShg,MetalSd,None,0.0,CBlock,3,2,373.0,GasA,3,Y,1387,1,3,Attchd,2,300.0,0,0,WD ,145000,39,31,2330.0,False,True,False,False,False
RL,118.0,Pave,Lvl,9,CompShg,MetalSd,BrkFace,365.0,PConc,5,4,0.0,GasA,5,Y,2758,2,5,BuiltIn,3,814.0,282,55,WD ,418000,2,1,4462.0,False,False,True,False,False
RM,48.0,Pave,Lvl,3,CompShg,Wd Sdng,None,0.0,PConc,3,1,0.0,GasA,4,Y,840,1,0,Detchd,1,250.0,112,0,WD ,64000,86,56,1638.0,False,True,False,False,False
RH,55.0,Pave,Bnk,5,CompShg,VinylSd,None,0.0,BrkTil,3,1,182.0,GasA,5,Y,1520,1,0,Detchd,1,281.0,0,0,WD ,159434,77,9,2313.0,False,True,False,False,False
RL,91.0,Pave,Lvl,8,CompShg,VinylSd,BrkFace,164.0,PConc,4,1,1220.0,GasA,5,Y,1542,2,4,Attchd,1,852.0,168,110,New,260261,0,0,3084.0,False,True,False,False,False
RL,71.0,Pave,Lvl,5,CompShg,BrkFace,None,0.0,CBlock,3,1,507.0,GasA,2,Y,1385,2,0,Detchd,1,720.0,0,0,WD ,166000,58,58,2295.0,False,True,False,False,False
RL,66.0,Pave,Lvl,5,CompShg,HdBoard,None,0.0,CBlock,3,3,734.0,GasA,3,Y,936,1,1,Attchd,2,288.0,24,90,WD ,130000,45,45,1832.0,False,True,False,False,False
RL,51.0,Pave,Lvl,5,CompShg,Wd Sdng,None,0.0,CBlock,2,1,384.0,GasA,3,N,1288,1,0,Detchd,1,240.0,0,0,WD ,112000,65,56,2112.0,False,True,False,False,False
RL,80.0,Pave,Lvl,5,CompShg,MetalSd,BrkFace,148.0,CBlock,3,2,776.0,GasA,4,Y,1128,2,0,Attchd,2,525.0,192,20,WD ,155000,45,45,2248.0,False,True,False,False,False
RL,92.0,Pave,Lvl,8,CompShg,VinylSd,BrkFace,84.0,PConc,5,1,0.0,GasA,5,Y,1968,2,4,BuiltIn,3,680.0,0,75,New,269500,1,0,2742.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,6,CompShg,HdBoard,None,0.0,CBlock,3,1,939.0,GasA,3,Y,1246,1,4,Attchd,2,441.0,0,69,WD ,172000,42,42,2492.0,False,True,False,False,False
RL,75.0,Pave,Lvl,7,CompShg,Wd Sdng,None,0.0,CBlock,3,1,410.0,GasA,3,Y,1740,1,4,Attchd,1,240.0,0,0,CWD,219500,67,23,2540.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,5,CompShg,HdBoard,None,0.0,PConc,3,1,181.0,GasA,4,Y,925,1,0,Detchd,1,484.0,203,74,WD ,133500,43,43,1850.0,False,True,False,False,False
RL,76.0,Pave,Lvl,7,CompShg,VinylSd,None,0.0,PConc,4,1,0.0,GasA,5,Y,1430,2,3,BuiltIn,2,400.0,100,0,WD ,170000,7,7,1814.0,False,True,False,False,False
RM,60.0,Pave,Lvl,8,CompShg,Wd Sdng,None,0.0,BrkTil,3,1,0.0,GasW,3,N,1566,2,0,Detchd,1,288.0,54,228,WD ,150000,110,7,2496.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,5,CompShg,MetalSd,None,0.0,PConc,3,1,624.0,GasW,3,N,950,1,0,Detchd,1,400.0,0,32,WD ,130000,55,55,1934.0,False,True,False,False,False
RL,70.0,Pave,Lvl,5,CompShg,HdBoard,BrkFace,128.0,CBlock,3,3,748.0,GasA,3,Y,1144,1,3,Attchd,2,796.0,86,0,WD ,143000,47,47,2288.0,False,True,False,False,False
RL,90.0,Pave,Lvl,5,CompShg,Plywood,None,0.0,CBlock,3,1,0.0,GasA,3,Y,1114,1,0,Attchd,2,451.0,0,0,COD,140000,47,47,2228.0,False,True,False,False,False
RL,95.0,Pave,Lvl,7,CompShg,Plywood,BrkFace,1115.0,CBlock,4,4,1880.0,GasA,5,Y,2223,2,4,Attchd,3,516.0,300,0,WD ,244000,34,34,4446.0,False,True,False,False,False
RM,60.0,Pave,Lvl,5,CompShg,MetalSd,None,0.0,BrkTil,3,1,0.0,GasA,3,N,1111,1,0,Detchd,1,288.0,0,0,WD ,101000,87,11,1641.0,False,True,False,False,False
RM,65.0,Pave,Lvl,5,CompShg,HdBoard,None,0.0,CBlock,3,1,0.0,GasA,5,Y,960,1,0,Detchd,1,624.0,0,0,WD ,125000,48,48,1920.0,False,True,False,False,False
RL,73.0,Pave,Lvl,6,CompShg,VinylSd,None,0.0,PConc,4,1,0.0,GasA,4,Y,1633,2,3,Attchd,3,460.0,0,39,WD ,183000,10,10,2565.0,False,True,False,False,False
RM,92.0,Pave,Lvl,6,CompShg,Wd Sdng,None,0.0,CBlock,3,1,0.0,GasA,5,Y,2229,1,0,NA,0,0.0,0,198,WD ,104000,97,59,2613.0,False,True,False,False,False
RL,64.0,Pave,Lvl,6,CompShg,MetalSd,None,0.0,CBlock,3,1,0.0,GasA,3,Y,984,1,0,Detchd,1,280.0,0,0,WD ,112500,54,54,1920.0,False,True,False,False,False
RL,79.0,Pave,Lvl,6,CompShg,Plywood,BrkFace,157.0,CBlock,4,1,625.0,GasA,3,Y,1686,2,3,Attchd,1,612.0,384,131,WD ,207500,26,26,3372.0,False,True,False,False,False
RL,78.0,Pave,Lvl,7,CompShg,VinylSd,BrkFace,140.0,PConc,4,4,56.0,GasA,5,Y,1614,2,4,Attchd,3,576.0,100,45,WD ,225000,1,1,3228.0,False,True,False,False,False
RL,60.0,Pave,Low,5,CompShg,VinylSd,None,0.0,CBlock,3,1,437.0,GasA,5,Y,864,1,0,Detchd,1,297.0,0,0,WD ,119900,34,34,1728.0,False,True,False,False,False
RL,108.0,Pave,Lvl,7,CompShg,VinylSd,Stone,206.0,PConc,5,1,0.0,GasA,5,Y,1740,2,0,Attchd,2,874.0,0,43,New,293000,0,0,3461.0,False,True,False,False,False
RL,78.0,Pave,Lvl,5,CompShg,Plywood,None,0.0,CBlock,3,1,570.0,GasA,4,Y,1721,2,3,Attchd,2,440.0,0,96,WD ,180000,38,13,3182.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,6,CompShg,HdBoard,BrkFace,335.0,CBlock,3,3,539.0,GasA,3,Y,1034,1,0,Attchd,1,888.0,0,0,WD ,169900,34,34,2046.0,False,True,False,False,False
RM,68.0,Pave,Lvl,6,CompShg,VinylSd,None,0.0,Slab,0,0,0.0,GasA,3,Y,1902,2,0,Attchd,1,539.0,0,0,WD ,112000,32,32,1902.0,False,True,False,False,False
RL,81.0,Pave,Lvl,6,CompShg,HdBoard,None,0.0,PConc,4,1,338.0,GasA,3,Y,1097,2,0,Attchd,1,480.0,0,0,WD ,152000,26,25,2137.0,False,True,False,False,False
RL,120.0,Pave,Lvl,9,CompShg,VinylSd,BrkFace,525.0,PConc,4,3,0.0,GasA,5,Y,2206,2,4,BuiltIn,3,670.0,148,95,New,300000,1,0,3296.0,False,True,False,False,False
RL,94.0,Pave,Lvl,6,CompShg,Plywood,None,0.0,CBlock,3,3,422.0,GasA,3,Y,1117,1,3,Detchd,1,672.0,144,0,WD ,107000,34,34,2146.0,False,True,False,False,False
RM,60.0,Pave,Lvl,4,CompShg,VinylSd,None,0.0,PConc,3,1,0.0,GasA,4,Y,2290,2,0,Detchd,1,560.0,0,0,WD ,122500,125,60,3067.0,False,True,False,False,False
RM,21.0,Pave,Lvl,6,CompShg,HdBoard,BrkFace,504.0,CBlock,3,1,276.0,GasA,3,Y,948,1,0,Detchd,1,264.0,0,0,WD ,89000,34,34,1431.0,False,True,False,False,False
RL,65.0,Pave,Bnk,6,CompShg,VinylSd,None,0.0,CBlock,2,1,368.0,GasA,5,N,919,1,0,Detchd,1,231.0,0,0,WD ,95000,70,60,1519.0,False,True,False,False,False
RL,78.0,Pave,Lvl,6,CompShg,MetalSd,BrkFace,41.0,CBlock,3,1,0.0,GasA,5,Y,1152,1,0,Attchd,2,412.0,0,126,CWD,143450,39,39,2064.0,False,True,False,False,False
RL,102.0,Pave,Lvl,9,CompShg,VinylSd,Stone,162.0,PConc,5,1,0.0,GasA,5,Y,2334,2,4,Attchd,3,751.0,144,133,New,376162,1,0,3924.0,False,True,False,False,False
RL,73.0,Pave,Lvl,5,CompShg,MetalSd,BrkFace,324.0,CBlock,3,1,697.0,GasA,3,Y,1264,1,4,Attchd,1,461.0,0,0,WD ,167500,50,50,2532.0,False,True,False,False,False
RL,64.0,Pave,Bnk,5,CompShg,Plywood,Stone,275.0,CBlock,4,3,1086.0,GasA,3,Y,1224,0,3,Detchd,1,528.0,120,0,WD ,153337,30,30,2310.0,False,True,False,False,False
RH,54.0,Pave,Lvl,6,CompShg,Wd Sdng,None,0.0,BrkTil,3,1,551.0,GasA,3,N,1369,2,0,Detchd,1,300.0,147,0,WD ,103600,84,59,2041.0,False,True,False,False,False
RL,75.0,Pave,Lvl,5,CompShg,HdBoard,None,0.0,CBlock,3,3,182.0,GasA,3,Y,894,1,0,Attchd,1,308.0,365,0,WD ,128200,34,34,1788.0,False,True,False,False,False
Others,69.05520046484602,Pave,Lvl,6,CompShg,MetalSd,BrkFace,216.0,PConc,4,1,378.0,GasA,5,Y,1573,2,0,Detchd,1,440.0,0,32,WD ,177500,10,10,2329.0,False,True,False,False,False
RL,105.0,Pave,Lvl,8,CompShg,VinylSd,BrkFace,232.0,PConc,4,4,578.0,GasA,5,Y,2250,2,5,Attchd,3,756.0,238,130,WD ,320000,8,8,3921.0,False,True,False,False,False
RL,42.0,Pave,Lvl,6,CompShg,VinylSd,None,0.0,PConc,4,1,683.0,GasA,5,Y,1514,2,3,Attchd,3,394.0,0,72,WD ,190000,9,9,2308.0,False,True,False,False,False
RM,21.0,Pave,Lvl,6,CompShg,CemntBd,BrkFace,236.0,CBlock,3,1,0.0,GasA,3,Y,1218,1,0,NA,0,0.0,201,0,WD ,91500,35,35,1890.0,False,True,False,False,False
RM,50.0,Pave,Lvl,5,CompShg,Wd Sdng,None,0.0,CBlock,3,1,0.0,GasA,3,Y,1387,2,0,BuiltIn,1,256.0,0,0,WD ,93000,55,55,2198.0,False,True,False,False,False
Others,50.0,Pave,Lvl,4,CompShg,BrkFace,None,0.0,BrkTil,3,1,0.0,GasA,3,N,1317,1,0,Detchd,1,250.0,0,54,WD ,40000,88,58,1966.0,False,True,False,False,False
RM,60.0,Pave,Lvl,6,CompShg,Wd Sdng,None,0.0,PConc,3,1,0.0,GasA,3,Y,1355,1,0,NA,0,0.0,136,0,WD ,127000,93,1,2039.0,False,True,False,False,False
Others,66.0,Grvl,Lvl,4,CompShg,Wd Sdng,None,0.0,CBlock,3,1,0.0,GasA,4,Y,952,1,0,Detchd,2,330.0,0,0,WD ,50138,114,60,1708.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,6,CompShg,HdBoard,BrkFace,174.0,CBlock,3,1,751.0,GasA,3,Y,1113,1,2,Attchd,2,504.0,370,30,WD ,148000,31,31,2256.0,False,True,False,False,False
RM,71.0,Pave,Lvl,5,CompShg,VinylSd,None,0.0,CBlock,3,1,403.0,GasA,5,Y,778,1,4,Detchd,3,924.0,0,25,WD ,120500,68,53,1518.0,False,True,False,False,False
RL,60.0,Pave,Lvl,6,CompShg,VinylSd,None,0.0,BrkTil,3,1,0.0,GasA,3,Y,1489,2,4,Detchd,1,240.0,335,0,WD ,139500,69,59,2267.0,False,True,False,False,False
RL,86.0,Pave,Lvl,9,CompShg,CemntBd,Stone,340.0,PConc,5,1,1234.0,GasA,5,Y,1698,2,4,Attchd,3,768.0,327,64,WD ,320000,2,1,3396.0,False,True,False,False,False
RL,107.0,Pave,Bnk,7,CompShg,Wd Sdng,None,0.0,CBlock,3,1,288.0,GasA,3,Y,2267,1,4,Attchd,3,498.0,521,0,WD ,219000,70,27,3272.0,False,True,False,False,False
RL,69.05520046484602,Pave,Low,5,CompShg,HdBoard,None,0.0,CBlock,4,3,301.0,GasA,3,Y,902,1,0,Attchd,1,484.0,164,0,WD ,131000,23,23,1766.0,False,True,False,False,False
RL,62.0,Pave,Lvl,6,CompShg,VinylSd,None,0.0,PConc,4,1,0.0,GasA,5,Y,1495,2,4,Attchd,2,440.0,100,30,New,171925,1,1,2233.0,False,True,False,False,False
RL,53.0,Pave,Lvl,5,CompShg,HdBoard,None,0.0,PConc,4,1,450.0,GasA,4,Y,1384,2,0,Attchd,1,404.0,0,39,WD ,177900,12,11,2732.0,False,True,False,False,False
RL,53.0,Pave,Lvl,6,CompShg,VinylSd,None,0.0,BrkTil,3,1,0.0,GasA,3,N,1436,1,4,Detchd,1,228.0,184,0,CWD,141500,86,57,2021.0,False,True,False,False,False
RL,60.0,Pave,Lvl,6,CompShg,VinylSd,None,0.0,PConc,4,1,476.0,GasA,4,Y,1636,2,3,Attchd,3,440.0,0,84,WD ,191000,11,10,2588.0,False,True,False,False,False
RL,63.0,Pave,Lvl,6,CompShg,VinylSd,None,0.0,PConc,4,1,941.0,GasA,5,Y,1158,1,0,Detchd,1,576.0,0,50,New,158000,2,2,2316.0,False,True,False,False,False
RL,67.0,Pave,HLS,8,CompShg,VinylSd,Stone,274.0,PConc,4,3,0.0,GasA,5,Y,1646,2,4,Attchd,2,870.0,192,80,New,248900,1,0,3284.0,False,True,False,False,False
RL,60.0,Pave,Lvl,5,CompShg,Wd Sdng,BrkFace,252.0,BrkTil,4,1,569.0,GasA,5,Y,1768,1,3,Detchd,1,240.0,0,0,WD ,175000,70,57,2499.0,False,True,False,False,False
RL,80.0,Pave,Lvl,6,CompShg,BrkFace,None,0.0,PConc,3,2,901.0,GasA,5,Y,1565,2,3,Attchd,2,299.0,200,25,WD ,185900,41,6,2752.0,False,True,False,False,False
RM,60.0,Pave,Lvl,7,CompShg,Wd Sdng,None,0.0,BrkTil,4,2,390.0,GasW,2,N,1768,1,3,Detchd,1,320.0,0,341,WD ,163000,92,36,2648.0,False,True,False,False,False
Others,50.0,Pave,Lvl,5,CompShg,WdShing,None,0.0,CBlock,3,2,0.0,GasA,3,N,1396,2,0,NA,0,0.0,0,0,WD ,115000,55,55,2056.0,False,True,False,False,False
RL,80.0,Pave,Lvl,6,CompShg,HdBoard,BrkFace,39.0,CBlock,3,3,528.0,GasA,3,Y,1096,1,2,Attchd,1,484.0,168,0,WD ,157500,30,30,2104.0,False,True,False,False,False
RL,69.05520046484602,Pave,Lvl,7,CompShg,VinylSd,BrkFace,210.0,PConc,4,1,913.0,GasA,5,Y,2312,2,3,BuiltIn,3,658.0,298,0,WD ,245000,10,10,3489.0,False,False,True,False,False
RL,41.0,Pave,HLS,8,CompShg,HdBoard,None,0.0,PConc,4,1,733.0,GasA,4,Y,1337,2,3,Attchd,2,462.0,96,0,WD ,180000,15,15,2674.0,False,True,False,False,False
Others,69.05520046484602,Pave,Lvl,7,CompShg,MetalSd,None,0.0,PConc,4,1,239.0,GasA,5,Y,1102,2,0,Detchd,1,480.0,0,60,WD ,148800,3,3,1653.0,False,True,False,False,False
